year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2018,11,watford,50,-7,52,59,14,8,16,"29,50",£4.95m,£1.24m,"29,09",£39.60m,£3.60m,"25,63",£77.85m,£9.73m,"25,00",£52.65m,£8.78m,/fc-watford/startseite/verein/1010/saison_id/2018
2018,12,crystal palace,49,-2,51,53,14,7,17,"29,20",£9.50m,£1.90m,"27,30",£77.54m,£7.75m,"27,40",£55.80m,£11.16m,"27,14",£108.00m,£15.43m,/crystal-palace/startseite/verein/873/saison_id/2018
2018,13,newcastle united,45,-6,42,48,12,9,17,"28,25",£10.80m,£2.70m,"26,70",£63.00m,£6.30m,"26,67",£77.40m,£8.60m,"26,00",£54.45m,£7.78m,/newcastle-united/startseite/verein/762/saison_id/2018
2018,14,bournemouth,45,-14,56,70,13,6,19,"28,00",£8.10m,£2.03m,"26,78",£72.45m,£8.05m,"25,71",£80.10m,£11.44m,"25,44",£104.63m,£11.63m,/afc-bournemouth/startseite/verein/989/saison_id/2018
2018,15,burnley,40,-23,45,68,11,7,20,"31,80",£17.78m,£3.56m,"28,75",£50.40m,£6.30m,"28,80",£40.50m,£8.10m,"28,63",£63.90m,£7.99m,/fc-burnley/startseite/verein/1132/saison_id/2018
2018,16,southampton,39,-20,45,65,9,12,17,"26,75",£20.79m,£5.20m,"25,00",£72.00m,£9.00m,"25,88",£63.00m,£7.88m,"24,88",£63.90m,£7.99m,/fc-southampton/startseite/verein/180/saison_id/2018
2018,17,brighton hove albion,36,-25,35,60,9,9,20,"27,00",£11.93m,£2.98m,"29,00",£43.88m,£5.48m,"26,86",£50.13m,£7.16m,"28,00",£50.85m,£7.26m,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018
2018,18,cardiff city,34,-35,34,69,10,4,24,"31,33",£10.58m,£3.53m,"30,00",£16.20m,£2.03m,"26,13",£31.50m,£3.94m,"26,55",£34.88m,£3.17m,/cardiff-city/startseite/verein/603/saison_id/2018
2018,19,fulham,26,-47,34,81,7,5,26,"27,67",£18.00m,£6.00m,"27,43",£32.85m,£4.69m,"25,70",£104.40m,£10.44m,"27,33",£49.95m,£8.33m,/fc-fulham/startseite/verein/931/saison_id/2018
2018,20,huddersfield town,16,-54,22,76,3,7,28,"25,75",£5.49m,£1.37m,"26,75",£38.25m,£4.78m,"26,33",£39.47m,£4.39m,"25,00",£34.65m,£4.95m,/huddersfield-town/startseite/verein/1110/saison_id/2018
